date,SPY,TLT,GLD,GSG
1990-12-26,33.1673628019996,11.948063471670105,35.70198682631859,17.107048473808742
1990-12-27,32.91072550783874,12.012661980193673,35.720418414767906,17.05147623008745
1990-12-28,32.95383255334232,11.943982395756363,36.512976718088346,17.192083280632595
1990-12-31,33.104205967889705,12.008515531695789,36.512976718088346,17.418437803874216
1991-01-02,32.72626745266063,12.16400832797256,36.042971212630874,16.736062014282883
1991-01-03,32.27113725129724,12.205451608349815,35.84022373968843,16.395916366574212
1991-01-04,32.17991071313849,12.097691302220992,35.68355523786928,16.213520272833307
1991-01-07,31.62252658988288,11.955385386344718,36.512976718088346,17.261588534522314
1991-01-08,31.568392160645825,11.899412293041582,36.15356074332675,17.020823037013507
1991-01-09,31.226543264908127,11.796687624660184,36.21807130289935,17.275370308289343
1991-01-10,31.53130005172414,11.907358758361008,36.13512915487745,17.316290455556317
1991-01-11,31.601474311846253,11.887541149696299,36.245718685573316,17.176774161887295
1991-01-14,31.326792207939715,11.867803201894084,37.010629606219794,18.317795740095995
1991-01-15,31.451100897298883,11.871866175830604,36.8816084870746,17.92102204737325
1991-01-16,31.695708318295942,11.887823431424644,37.27788763873482,18.486838087620995
1991-01-17,32.878645846068636,12.158481819264372,34.50393357711327,15.374905866529684
1991-01-18,33.30570634338318,12.174939572523888,34.56844413668587,14.954883143988239
1991-01-21,33.18841508003623,12.178994468080097,34.973939082570745,15.308570156656057
1991-01-22,32.912730486699374,12.108857820447383,35.02923384791868,15.762135258241551
1991-01-23,33.10320347845938,12.137546457386707,34.91864431722281,15.802656626506726
1991-01-24,33.56134114811372,12.17872499259858,34.420991429091366,15.781547734443654
1991-01-25,33.690662284624466,12.108653420877046,34.66060207893243,15.752448281380302
1991-01-28,33.6866523269032,12.125013148646866,34.75276002117899,15.647067898292892
1991-01-29,33.6676050277272,12.16609967428403,34.6882494616064,15.887041544832115
1991-01-30,34.175867168897334,12.133108598714122,34.236675544598235,15.648202171303378
1991-01-31,34.478618976852715,12.1618546912602,33.960201717858546,15.783251284097139
1991-02-01,34.390399906984925,12.315761267421392,33.978633306307856,15.68319342360799
1991-02-04,34.920716815622,12.370564656170153,34.245891338822894,15.678877479134128
1991-02-05,35.213443729274225,12.412943286341038,33.997064894757166,15.581073897080913
1991-02-06,35.896139031319315,12.417005299174283,33.65608050844489,15.856344835623803
1991-02-07,35.74075316962036,12.433898904109078,34.09843863122839,15.710094955196308
1991-02-08,36.02445767839975,12.515421544887714,34.31961769262014,15.92949403073212
1991-02-11,36.94975542258126,12.493536072954749,34.01549648320648,16.163625814577713
1991-02-12,36.64098867804399,12.510561512691579,34.12608601390236,16.268628106661627
1991-02-13,36.99386495751516,12.501657885113692,34.05235966010511,16.125281679789275
1991-02-14,36.512670030963555,12.47984775958095,34.1168702196777,16.042664515250035
1991-02-15,36.99787491523642,12.509790478075383,33.739022656466794,15.57709894788945
1991-02-19,37.03095706643684,12.492028532403449,33.739022656466794,15.531208687374644
1991-02-20,36.60489905855261,12.457409581100602,33.7390226564668,15.788324837336496
1991-02-21,36.58785673823724,12.435803923308693,33.55470677197367,15.459370683331283
1991-02-22,36.65602601949872,12.401518719184006,33.0201907069436,15.325347409901724
1991-02-25,36.81742681777957,12.431147563335811,33.25058556256001,15.414698874578688
1991-02-26,36.37131902128902,12.320820964477766,33.195290797212074,15.647061477879625
1991-02-27,36.86554631043474,12.312320860712584,33.48098041817642,15.841063538669326
1991-02-28,36.798379518603575,12.266249525071506,34.00628068898183,16.002716703903374
1991-03-01,37.13922592491096,12.158700743786637,33.969417512083204,16.097287964566334
1991-03-04,37.02494212985495,12.150515699815605,34.05235966010511,16.472633884700418
1991-03-05,37.76578181885836,12.203887056249595,33.757454244916104,16.682581398528097
1991-03-06,37.71064490019099,12.158661350945808,33.86804377561198,16.52643694787705
1991-03-07,37.68458017500278,12.236836389874814,33.960201717858546,16.470428829432862
1991-03-08,37.58834118969246,12.154451558475733,34.209028161924266,16.471235661366737
1991-03-11,37.388845793059595,12.244944803653535,33.748238450691446,16.355788783656074
1991-03-12,37.09511638997706,12.21184272979517,33.7390226564668,16.577265219573352
1991-03-13,37.550246591340446,12.290522855731112,33.923338540959925,16.708519154747126
1991-03-14,37.44298022229666,12.294630534385512,33.75745424491611,16.590761641639634
1991-03-15,37.4520026271695,12.174600620033981,33.711375273792825,16.464457131715395
1991-03-18,37.30363419148276,12.129700982449071,33.51784359507504,16.346857275422565
1991-03-19,36.75026002594841,12.036763977427864,33.5915699488723,16.64309443017815
1991-03-20,36.88359112018042,12.101322393652294,33.50862780085039,16.715010905939216
1991-03-21,36.749257536518094,12.141987101649645,33.49941200662573,16.85495380040086
1991-03-22,36.839481585246524,12.158341766044709,33.49941200662573,16.747504617483003
1991-03-25,37.07506660137074,12.174723420047098,33.12156444341482,16.501275348284064
1991-03-26,37.723677262785095,12.191132125796859,33.186075002987415,16.54846538579579
1991-03-27,37.62844076690509,12.257000607569662,33.02940650116825,16.50325925598354
1991-03-28,37.61540840431098,12.285995218369397,33.12156444341482,16.605086297017344
1991-04-01,37.22243254762717,12.281788479441898,33.39803827015451,16.509572662362654
1991-04-02,38.044473880486166,12.323356275228681,33.22293817988604,16.702055938725113
1991-04-03,37.98833447238848,12.302480203135373,33.3796066817052,16.54162407877028
1991-04-04,38.071541095104685,12.369263886823118,33.33352771058192,16.65473035915553
1991-04-05,37.629443256335406,12.386001717090954,33.370390887480546,16.68400030986008
1991-04-08,37.96026476833964,12.415423292304888,33.54549097774901,16.821932188210685
