date,DGS3,DGS30,TLT,SHY,spread,sigma_long,mu_spread,theta_spread,sigma_spread,etf_long_mean,etf_short_mean,trade_performance,base_performance
2009-08-12,0.0176,0.0453,63.671227,73.10759,0.0277,0.0006091025444639614,0.01413225522628736,0.0015722757199442936,0.0005913157238427452,0.00023069269674558246,2.5266764391516905e-05,1.293028110193442,1.4210725404672602
2009-08-13,0.0166,0.0444,64.573975,73.230232,0.027800000000000002,0.0006094543177793223,0.014145601091213844,0.001580108614139422,0.0005929828629361641,0.00022808102479232595,2.104126385738458e-05,1.3091906623899738,1.4323386808939806
2009-08-14,0.0161,0.0441,64.823997,73.282784,0.028,0.0006092288229969157,0.014159129209746713,0.0016001421739915728,0.0005969405693288755,0.0002271490082342842,1.804393757117394e-05,1.3133198260824046,1.4356255376088978
2009-08-17,0.0154,0.0433,65.782242,73.36161,0.027899999999999998,0.0006094442284931815,0.014172546469105006,0.0015838129356535466,0.0005940878570463891,0.00022482503848464397,1.6212470590740245e-05,1.331319574806436,1.4470085397858836
2009-08-18,0.015700000000000002,0.0435,65.400307,73.344078,0.027799999999999995,0.0006091786689521131,0.014185852977619571,0.0015676907243885165,0.0005912480337890219,0.00022536459496402816,1.811823502343747e-05,1.3239087115295567,1.442634934198507
2009-08-19,0.0152,0.042800000000000005,65.941963,73.379158,0.027600000000000006,0.0006092739546111389,0.014198951198685169,0.0015401598737210189,0.0005862083733723327,0.0002233196435251772,1.7620907707983197e-05,1.3342393481642094,1.4489540045021652
2009-08-20,0.015300000000000001,0.0424,66.483673,73.36161,0.0271,0.0006091046802332469,0.014211548401446825,0.0014799695600950413,0.000574776861565634,0.0002221115501960247,2.1062854475750433e-05,1.3455178420552565,1.4547322951342911
2009-08-21,0.0165,0.0436,65.115639,73.247696,0.0271,0.0006099609217305836,0.01422413329928631,0.0014763989096285843,0.0005742192472586936,0.00022580898064833432,2.5689892787495914e-05,1.3199243922434667,1.438635852579843
2009-08-24,0.015700000000000002,0.042699999999999995,66.29612,73.33532,0.026999999999999993,0.0006103113623394771,0.01423660825950421,0.0014617129419251212,0.0005714843048004412,0.00022322596413315576,2.3387602241950142e-05,1.3422713702720181,1.4525368608787612
2009-08-25,0.015600000000000001,0.042199999999999994,66.671112,73.33532,0.02659999999999999,0.0006102133756142475,0.014248680455450082,0.0014151791381321977,0.0005624145528843528,0.00022174058454388357,2.5318918052948634e-05,1.3498624546024913,1.456644866766094
2009-08-26,0.015700000000000002,0.042,66.976669,73.379158,0.0263,0.0006099474006180278,0.014260447925346566,0.0013805164492648129,0.0005555647361238118,0.00022110322839585805,2.737368195623879e-05,1.3552408162031764,1.4604181771939875
2009-08-27,0.0158,0.042300000000000004,66.712814,73.370361,0.026500000000000003,0.0006097216074523052,0.01427239919008462,0.0013988378838330506,0.0005593313880230487,0.00022193792903313359,2.6798913148052476e-05,1.3500657688107183,1.4574539734765162
2009-08-28,0.0155,0.0421,67.018364,73.449196,0.0266,0.0006094558986158923,0.014284436425483304,0.0014064615988153757,0.0005609511732532937,0.00022130011349175138,2.524972054975482e-05,1.3547974493594512,1.4615746038161213
2009-08-31,0.0149,0.0418,67.080849,73.501785,0.026899999999999997,0.0006092304037436418,0.01429675483665523,0.0014362224717866599,0.0005669713313601009,0.00022037795961471485,2.14739841880268e-05,1.3550905125658925,1.4627791955239253
2009-09-01,0.0144,0.04190000000000001,66.918533,73.561394,0.027500000000000007,0.0006089409085602908,0.014309647082425287,0.0015017432457675125,0.000579916932046282,0.00022061398280148747,1.6249700289209515e-05,1.350713525095468,1.4616025945275208
2009-09-02,0.0139,0.0409,67.893768,73.640327,0.027,0.0006094451580249031,0.014322038512700403,0.0014428658652444995,0.0005685561175214175,0.00021779509848091072,1.7355080846585163e-05,1.36894614752196,1.4730370686913932
2009-09-03,0.014199999999999999,0.0415,67.475815,73.570183,0.027300000000000005,0.0006094360067462399,0.01433471077249312,0.0014732869180290027,0.0005746590629430032,0.0002195416884869239,1.689048812158426e-05,1.3618245614433648,1.4678015220387366
2009-09-04,0.0146,0.042699999999999995,66.326347,73.535049,0.028099999999999993,0.0006102914574278546,0.014348151809505114,0.001565276372920226,0.0005925267569956104,0.00022322211601538688,1.3639245510646178e-05,1.339279848370026,1.4549488524429077
2009-09-08,0.0149,0.0431,65.85965,73.543854,0.0282,0.0006101214730745549,0.014361677361827464,0.0015731017633868608,0.0005942114150106493,0.0002243655248339027,1.4286148884831403e-05,1.3296967716485812,1.4499171770535229
2009-09-09,0.0148,0.0433,65.782974,73.552597,0.028499999999999998,0.0006098555486139201,0.014375482635589121,0.00160560493005774,0.0006005469037863769,0.0002249037414439603,1.2126021120555607e-05,1.3279907738281695,1.4491593402260141
2009-09-10,0.014199999999999999,0.04190000000000001,66.99514,73.596504,0.02770000000000001,0.0006111255655970073,0.014388493269950084,0.001508843623277285,0.0005823341932646004,0.00022104139052181448,1.497032800230945e-05,1.351666725720286,1.4629435197178895
2009-09-11,0.014199999999999999,0.0418,67.364372,73.570183,0.0276,0.0006108351207689123,0.014401393551387346,0.0014935819316891769,0.0005795373786247603,0.00022069239277361374,1.569828668830024e-05,1.3595984994342616,1.4667132953978401
2009-09-14,0.0146,0.042199999999999994,66.69561,73.526253,0.027599999999999993,0.0006106647572167754,0.014414281231987233,0.0014898443955203447,0.0005789663387890979,0.0002218285434031908,1.7330883794834488e-05,1.3469147894406175,1.4589949737086756
2009-09-15,0.0149,0.042699999999999995,66.354256,73.561394,0.027799999999999995,0.0006105664826571254,0.014427351612504302,0.001509268597614041,0.0005828962289080508,0.000223275296390546,1.739909550966818e-05,1.3393784805329951,1.4556099960542814
2009-09-16,0.0155,0.0426,66.472664,73.464912,0.0271,0.0006102763184713746,0.014439725716755074,0.0014287642960381468,0.0005672548830951892,0.00022292558540715213,2.375097988291375e-05,1.343524790615993,1.4559541733309211
2009-09-17,0.0151,0.04190000000000001,67.308662,73.570183,0.026800000000000004,0.0006103703614526126,0.014451794801702406,0.00139338661403277,0.0005602848848563222,0.00022089346878784166,2.398469682655729e-05,1.3584939492125254,1.4661527762538704
2009-09-18,0.015700000000000002,0.0424,66.709534,73.499992,0.026699999999999998,0.0006102723271627086,0.014463754453629508,0.0013796748068413175,0.0005576109749354639,0.00022233810459260095,2.686357839804367e-05,1.3477003736212854,1.4589281100585967
2009-09-21,0.015600000000000001,0.042300000000000004,66.862808,73.526253,0.0267,0.0006099823107805692,0.014475702423554875,0.001376616962431155,0.0005570814786625848,0.0002219886040709107,2.6593298307346267e-05,1.3503147741691384,1.4608647825280776
2009-09-22,0.0154,0.042,67.002083,73.508759,0.026600000000000002,0.0006097564977721047,0.014487541078846458,0.0013631046654045912,0.000554422396129234,0.0002210659487746347,2.6466333003137923e-05,1.3534480246441698,1.462212479924956
2009-09-23,0.0149,0.0421,67.204147,73.622772,0.0272,0.00060946674025995,0.01449995403444405,0.001425953677469558,0.0005671791124512509,0.00022130222603317096,2.1458310444767573e-05,1.3554299986426757,1.4655512953768326
2009-09-24,0.014499999999999999,0.0417,67.3992,73.640327,0.027200000000000002,0.0006092973325840005,0.014512354865284889,0.0014225985928834433,0.0005666297123598108,0.00022009867482220002,2.0077884696116893e-05,1.3590401432792845,1.4678528268381168
2009-09-25,0.0149,0.040999999999999995,68.256081,73.613991,0.026099999999999995,0.000609392482991146,0.014523669499764958,0.0013093789200019673,0.0005436640743849612,0.00021807562764064592,2.7247283535052308e-05,1.3768008793227133,1.4769211399317235
2009-09-28,0.0147,0.0404,68.855186,73.605232,0.0257,0.0006093833824089091,0.014534582506655675,0.0012681833874232222,0.0005350707150565183,0.00021633049667318938,2.8457828427312388e-05,1.3890436882710335,1.4833149735071773
2009-09-29,0.0148,0.0403,68.79248,73.596504,0.025500000000000002,0.0006090938124051556,0.014545289566167493,0.0012468527363068407,0.0005305681008279518,0.0002159825533001869,2.9812151901740147e-05,1.3879442257509433,1.482551605882779
2009-09-30,0.014499999999999999,0.0403,68.729782,73.675346,0.025800000000000003,0.000608796368351331,0.014556279098791798,0.001273656712478612,0.0005362720940519135,0.00021592300756667626,2.739180132117704e-05,1.3851950661976968,1.4826701106455007
2009-10-01,0.013600000000000001,0.0397,69.67099,73.749115,0.026099999999999998,0.0006087878412299809,0.014567550828522034,0.0013010498109217057,0.0005420554921503389,0.00021418419179142223,2.2687234064033748e-05,1.4027653968895475,1.493564471549531
2009-10-02,0.0138,0.0401,69.188896,73.775475,0.026299999999999997,0.0006086189083886804,0.014579006835837804,0.0013186524854354633,0.0005457678456899039,0.00021530765219202053,2.2546534451317103e-05,1.3925640236273027,1.4886639729028068
2009-10-05,0.0138,0.0401,69.195862,73.775475,0.026299999999999997,0.0006083216965528843,0.014590451653180542,0.0013159256102936296,0.0005452602731959484,0.00021524801441241692,2.2637117201793403e-05,1.392704157626708,1.4887389129136666
2009-10-06,0.0143,0.0407,68.511032,73.731567,0.0264,0.0006083136264609743,0.014601982935205456,0.0013233808833532075,0.0005468646981257443,0.00021698858283614175,2.4104694712659847e-05,1.37975598168077,1.4809288871709416
2009-10-07,0.013500000000000002,0.039900000000000005,69.314674,73.828171,0.026400000000000003,0.0006085302472174669,0.014613502953745987,0.0013206135955116463,0.0005463538988424459,0.0002147106603587745,2.1209538205544754e-05,1.3941270404252366,1.4905847827383851
2009-10-08,0.013999999999999999,0.0409,68.587898,73.757912,0.0269,0.0006090352331438256,0.014625499938067726,0.001370750610215896,0.000556719046392596,0.00021771375579227037,2.0607772723659217e-05,1.3808428051646833,1.482061005069721
2009-10-09,0.015,0.042199999999999994,67.015602,73.65258,0.027199999999999995,0.0006100917220074182,0.014637778134888306,0.0014001605422244265,0.000562768503627084,0.0002217168895373156,2.2857084764134447e-05,1.351169185086551,1.4640155131582648
2009-10-13,0.014199999999999999,0.0416,67.469788,73.784248,0.0274,0.0006100819495050909,0.014650239625850244,0.0014188776421690964,0.0005666385787464305,0.0002199605917670988,1.8878929492177512e-05,1.3579097225566688,1.4702851651414963
